term,ground_truth,method,prediction,candidates,num_candidates,time_seconds,hit@1,hit@3,hit@5,ndcg@3,ndcg@5,mrr,rank
Firm relocation,business relocation,agent_tool_calling,business relocation,"[""business relocation"", ""inter-firm relationships"", ""transformation economics"", ""corporate consolidation"", ""spatial economics""]",5,2.189627170562744,True,True,True,1.0,1.0,1.0,1
companies,businesses,agent_tool_calling,businesses,"[""businesses"", ""corporate management"", ""corporate law"", ""small businesses"", ""organizational structure""]",5,1.98038911819458,True,True,True,1.0,1.0,1.0,1
bounded rationality,limited rationality,agent_tool_calling,limited rationality,"[""limited rationality"", ""radical critique"", ""Levinasian philosophy"", ""mathematical foundations"", ""analytical philosophy""]",5,2.7646443843841557,True,True,True,1.0,1.0,1.0,1
information systems management,IT management,agent_tool_calling,IT management,"[""IT management"", ""data management systems"", ""information technology"", ""data management"", ""collaborative information systems""]",5,3.0375537872314453,True,True,True,1.0,1.0,1.0,1
taxes,levies,agent_tool_calling,income tax,"[""income tax"", ""company tax"", ""earnings tax"", ""global tax law"", ""value-added tax""]",5,2.533682584762573,False,False,False,0.0,0.0,0.0,-1
tax law,fiscal law,agent_tool_calling,global tax law,"[""global tax law"", ""fiscal law"", ""income tax"", ""company tax"", ""EU tax regulations""]",5,1.6829636096954346,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
investment,investing,agent_tool_calling,investing,"[""investing"", ""investment theory"", ""investment fund"", ""investment funds"", ""investment evaluation""]",5,1.6254959106445312,True,True,True,1.0,1.0,1.0,1
investor behaviour,Investor psychology,agent_tool_calling,Investor psychology,"[""Investor psychology"", ""investing"", ""investment theory"", ""buying behavior"", ""uncertain investments""]",5,3.859678745269776,True,True,True,1.0,1.0,1.0,1
mutual fund,investment fund,agent_tool_calling,investment fund,"[""investment fund"", ""investment funds"", ""investing"", ""financial policy"", ""investment theory""]",5,2.0145909786224365,True,True,True,1.0,1.0,1.0,1
policy evaluation,policy analysis,agent_tool_calling,policy analysis,"[""policy analysis"", ""public policy"", ""ecological policy"", ""investment evaluation"", ""health policy""]",5,1.980170965194702,True,True,True,1.0,1.0,1.0,1
mediation,conflict resolution,agent_tool_calling,e-mediation,"[""e-mediation"", ""conflict resolution"", ""persuasion"", ""disputes"", ""interpersonal process""]",5,2.543104648590088,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
assertive outreach,proactive engagement,agent_tool_calling,advocacy,"[""advocacy"", ""Pastoral Counseling Psychology"", ""persuasion"", ""talk therapy"", ""youth ministry""]",5,2.152364492416382,False,False,False,0.0,0.0,0.0,-1
berber language,Tamazight,agent_tool_calling,Arabian,"[""Arabian"", ""minority languages"", ""ancient Hebrew"", ""classical language"", ""Regional language and society""]",5,2.835859060287476,False,False,False,0.0,0.0,0.0,-1
occupational ethics,professional ethics,agent_tool_calling,professional ethics,"[""professional ethics"", ""occupational psychology"", ""corporate ethics"", ""occupational health"", ""tech ethics""]",5,2.5761053562164307,True,True,True,1.0,1.0,1.0,1
Occupational ethics for ministers,ministerial ethics,agent_tool_calling,ministerial ethics,"[""ministerial ethics"", ""professional ethics"", ""ethical management"", ""clerical ministry"", ""political-economic ethics""]",5,2.160769462585449,True,True,True,1.0,1.0,1.0,1
occupational diseases,work-related illnesses,agent_tool_calling,occupational health,"[""occupational health"", ""work-related illnesses"", ""occupational psychology"", ""disease study"", ""long-term illnesses""]",5,2.957342624664306,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
protected species,endangered species,agent_tool_calling,endangered species,"[""endangered species"", ""environmental protection law"", ""ecological criminal law"", ""ecological law"", ""natural diversity""]",5,2.113259077072144,True,True,True,1.0,1.0,1.0,1
decision theory,decision analysis,agent_tool_calling,decision analysis,"[""decision analysis"", ""decision process"", ""theory of knowledge"", ""decision aid systems"", ""cognitive psychology theory""]",5,3.687474012374878,True,True,True,1.0,1.0,1.0,1
decision support systems,decision aid systems,agent_tool_calling,decision aid systems,"[""decision aid systems"", ""decision process"", ""support services"", ""knowledge systems"", ""decision analysis""]",5,1.7888786792755127,True,True,True,1.0,1.0,1.0,1
decision making,decision process,agent_tool_calling,decision process,"[""decision process"", ""decision analysis"", ""decision aid systems"", ""cognitive psychology"", ""mental science""]",5,2.016676902770996,True,True,True,1.0,1.0,1.0,1
information management and technology,information systems management,agent_tool_calling,information technology,"[""information technology"", ""information and communication technology"", ""information systems management"", ""IT management"", ""data management""]",5,1.85406494140625,False,True,True,0.5,0.5,0.3333333333333333,3
administrative reform,bureaucratic reform,agent_tool_calling,bureaucratic reform,"[""bureaucratic reform"", ""administrative organisation"", ""administration"", ""reorganisation"", ""administrative litigation""]",5,2.1917495727539062,True,True,True,1.0,1.0,1.0,1
management of non-profit organisations,non-profit management,agent_tool_calling,non-profit management,"[""non-profit management"", ""sociology of organizations"", ""adaptive organizations"", ""corporate management"", ""charitable organizations""]",5,2.249701976776123,True,True,True,1.0,1.0,1.0,1
public administration,administrative organisation,agent_tool_calling,public management,"[""public management"", ""administration"", ""administrative organisation"", ""business administration"", ""public policy""]",5,1.9402389526367188,False,True,True,0.5,0.5,0.3333333333333333,3
administrative procedural law,administrative litigation,agent_tool_calling,criminal procedural law,"[""criminal procedural law"", ""administrative litigation"", ""EU administrative law"", ""administrative organisation"", ""legal procedure""]",5,3.990748167037964,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
consciousness,awareness,agent_tool_calling,unconscious state,"[""unconscious state"", ""awareness"", ""rebirth"", ""self-awareness"", ""mental philosophy""]",5,2.2053322792053223,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
bible (studies),biblical studies,agent_tool_calling,biblical studies,"[""biblical studies"", ""New Testament studies"", ""religious studies"", ""early Christian texts"", ""Hebrew Bible""]",5,2.5529024600982666,True,True,True,1.0,1.0,1.0,1
bible as literature,scriptural literature,agent_tool_calling,theological literature,"[""theological literature"", ""Hebrew Bible"", ""Bible interpretation"", ""New Testament studies"", ""biblical studies""]",5,2.839528799057007,False,False,False,0.0,0.0,0.0,-1
Bible and culture,scriptural influence on culture,agent_tool_calling,Hebrew Bible,"[""Hebrew Bible"", ""Christian cultural studies"", ""Christian Scriptures"", ""biblical studies"", ""scriptural influence on culture""]",5,2.278575897216797,False,False,True,0.0,0.3868528072345416,0.2,5
bible translations,scripture translations,agent_tool_calling,scripture translations,"[""scripture translations"", ""Hebrew Bible"", ""Bible interpretation"", ""Christian Scriptures"", ""early Christian texts""]",5,2.1220803260803223,True,True,True,1.0,1.0,1.0,1
bible studies; exegesis,Bible interpretation,agent_tool_calling,biblical studies,"[""biblical studies"", ""New Testament studies"", ""theological literature"", ""religious studies"", ""Christian Scriptures""]",5,3.022830009460449,False,False,False,0.0,0.0,0.0,-1
bible studies; new testament,New Testament studies,agent_tool_calling,New Testament studies,"[""New Testament studies"", ""biblical studies"", ""religious studies"", ""Christian Scriptures"", ""Hebrew Bible""]",5,2.195184230804444,True,True,True,1.0,1.0,1.0,1
biodiversity,natural diversity,agent_tool_calling,natural diversity,"[""natural diversity"", ""endangered species"", ""diversity"", ""ecological management"", ""ecological law""]",5,2.560086965560913,True,True,True,1.0,1.0,1.0,1
"Blanchot, Maurice (1907-2003)",literary philosopher,agent_tool_calling,Jacques Derrida,"[""Jacques Derrida"", ""Friedrich Heinrich Jacobi"", ""Jacob"", ""Teutonic"", ""unity""]",5,1.811899185180664,False,False,False,0.0,0.0,0.0,-1
urban planning and building law,city planning regulations,agent_tool_calling,city planning regulations,"[""city planning regulations"", ""city planning"", ""local government law"", ""Municipal governance"", ""city history""]",5,2.307535171508789,True,True,True,1.0,1.0,1.0,1
brabant,Brabant region,agent_tool_calling,Brabant region,"[""Brabant region"", ""Brabant heritage"", ""Dutch language"", ""Latvian Republic"", ""ICCt""]",5,2.11178994178772,True,True,True,1.0,1.0,1.0,1
Letter of James,Epistle of James,agent_tool_calling,Epistle of James,"[""Epistle of James"", ""Matthew, James, and Didache"", ""John the Apostle"", ""Jacob"", ""Matthew's Gospel""]",5,2.4160633087158203,True,True,True,1.0,1.0,1.0,1
law of civil procedure,civil litigation law,agent_tool_calling,civil law,"[""civil law"", ""legal procedure"", ""civil litigation law"", ""Civil law methodology"", ""criminal procedural law""]",5,2.2245407104492188,False,True,True,0.5,0.5,0.3333333333333333,3
equity market,stock market,hybrid_pipeline,stock market,"[""stock market"", ""capital markets"", ""financial economics"", ""market analysis"", ""investing""]",5,121.09096026420592,True,True,True,1.0,1.0,1.0,1
liability law,responsibility law,hybrid_pipeline,responsibility law,"[""responsibility law"", ""corporate law"", ""business law"", ""medical law"", ""contract law""]",5,121.28444361686708,True,True,True,1.0,1.0,1.0,1
accountancy,financial auditing,hybrid_pipeline,financial reporting,"[""financial reporting"", ""financial management"", ""financial auditing"", ""financial accounting"", ""financial systems""]",5,95.81658482551576,False,True,True,0.5,0.5,0.3333333333333333,3
auditors,financial examiners,hybrid_pipeline,financial examiners,"[""financial examiners"", ""financial accounting"", ""financial auditing"", ""investigation"", ""financial instruments""]",5,107.10034656524658,True,True,True,1.0,1.0,1.0,1
accounting,financial accounting,hybrid_pipeline,financial reporting,"[""financial reporting"", ""financial management"", ""financial accounting"", ""financial auditing"", ""financial evaluation""]",5,107.11017727851868,False,True,True,0.5,0.5,0.3333333333333333,3
acculturation,cultural adaptation,hybrid_pipeline,cultural adaptation,"[""cultural adaptation"", ""cross-cultural differences"", ""cross-cultural communication"", ""cross-cultural support"", ""cross-cultural psychology""]",5,107.19146919250488,True,True,True,1.0,1.0,1.0,1
actual pastoral liturgical practice,current liturgical practice,hybrid_pipeline,liturgical theology,"[""liturgical theology"", ""current liturgical practice"", ""Christian worship"", ""modern worship"", ""Catholic pastoral care""]",5,107.0821385383606,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
adhd,attention deficit disorder,hybrid_pipeline,attention deficit disorder,"[""attention deficit disorder"", ""psychological disorders"", ""seizure disorder"", ""cognitive decline"", ""disease study""]",5,107.78680229187012,True,True,True,1.0,1.0,1.0,1
administrative law,regulatory law,hybrid_pipeline,regulatory law,"[""regulatory law"", ""public policy"", ""regulatory economics"", ""financial regulation"", ""administrative litigation""]",5,107.7241141796112,True,True,True,1.0,1.0,1.0,1
adorno,critical theorist,hybrid_pipeline,critical analysis,"[""critical analysis"", ""critical theorist"", ""intercultural research"", ""cultural practices"", ""cultural philosophy""]",5,5.5009825229644775,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
africa,Sub-Saharan region,hybrid_pipeline,Sub-Saharan region,"[""Sub-Saharan region"", ""East Europe"", ""South African legal system"", ""developing countries"", ""Arabian""]",5,5.550358772277832,True,True,True,1.0,1.0,1.0,1
agricultural economy,agricultural economics,hybrid_pipeline,agricultural economics,"[""agricultural economics"", ""economic development"", ""industrial economics"", ""economic history"", ""local economics""]",5,5.414180278778076,True,True,True,1.0,1.0,1.0,1
aggression,hostility,hybrid_pipeline,hostility,"[""hostility"", ""senseless violence"", ""interpersonal psychology"", ""disputes"", ""Cooperation""]",5,5.725231170654297,True,True,True,1.0,1.0,1.0,1
alcohol addiction,alcohol dependence,hybrid_pipeline,alcohol dependence,"[""alcohol dependence"", ""substance abuse treatment"", ""substance dependence"", ""psychological disorders"", ""compulsive gambling""]",5,5.345016002655029,True,True,True,1.0,1.0,1.0,1
general econometrics,economic statistics,hybrid_pipeline,practical econometrics,"[""practical econometrics"", ""economic modeling"", ""data analysis"", ""economic statistics"", ""individual econometrics""]",5,5.318265676498413,False,False,True,0.0,0.43067655807339306,0.25,4
alliances and joint ventures,strategic partnerships,hybrid_pipeline,strategic partnerships,"[""strategic partnerships"", ""financial partnerships"", ""Cooperation"", ""businesses"", ""collaborative work""]",5,5.293204307556152,True,True,True,1.0,1.0,1.0,1
foreigners,strangers,hybrid_pipeline,immigrants,"[""immigrants"", ""refugees"", ""asylum seekers"", ""nationality"", ""Turkish immigrants""]",5,5.507604598999023,False,False,False,0.0,0.0,0.0,-1
americanization,Americanisation,hybrid_pipeline,Americanisation,"[""Americanisation"", ""global culture"", ""cultural adaptation"", ""global economics"", ""global management""]",5,5.327571630477905,True,True,True,1.0,1.0,1.0,1
anxiety,worry,hybrid_pipeline,worry,"[""worry"", ""stress management"", ""stress control"", ""psychological disorders"", ""tension""]",5,5.5102174282073975,True,True,True,1.0,1.0,1.0,1
"Antarctic, Arctic, Polar Regions",polar areas,hybrid_pipeline,polar areas,"[""polar areas"", ""East Europe"", ""eurozone"", ""Sub-Saharan region"", ""Regional language and society""]",5,5.469733476638794,True,True,True,1.0,1.0,1.0,1
"anthropology and philosophy of religion, relation",relationship between anthropology and religious philosophy,hybrid_pipeline,relationship between anthropology and religious philosophy,"[""relationship between anthropology and religious philosophy"", ""religious philosophy"", ""religious sociology"", ""religious psychology"", ""religious studies""]",5,5.52957558631897,True,True,True,1.0,1.0,1.0,1
arabic,Arabian,hybrid_pipeline,Arabian,"[""Arabian"", ""Islamic studies"", ""Anatolian"", ""East Europe"", ""nationality""]",5,5.177801132202148,True,True,True,1.0,1.0,1.0,1
labour and health,occupational health,hybrid_pipeline,occupational health,"[""occupational health"", ""work-related illnesses"", ""quality of worklife"", ""health psychology"", ""work psychology""]",5,5.356142282485962,True,True,True,1.0,1.0,1.0,1
industrial and organisational psychology,work psychology,hybrid_pipeline,occupational psychology,"[""occupational psychology"", ""industrial psychology"", ""work psychology"", ""cognitive psychology"", ""theoretical psychology""]",5,5.175698518753052,False,True,True,0.5,0.5,0.3333333333333333,3
working hours,working time,hybrid_pipeline,working time,"[""working time"", ""workweek reduction"", ""employment conditions"", ""employment issues"", ""work-life balance""]",5,5.22175145149231,True,True,True,1.0,1.0,1.0,1
labour economics,employment economics,hybrid_pipeline,employment economics,"[""employment economics"", ""employment market"", ""industrial economics"", ""labor unions"", ""government economics""]",5,5.185728549957275,True,True,True,1.0,1.0,1.0,1
labour market,employment market,hybrid_pipeline,employment economics,"[""employment economics"", ""employment market"", ""employment policy"", ""industrial economics"", ""employment relations""]",5,5.227899789810181,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
labour market policy,employment policy,hybrid_pipeline,employment policy,"[""employment policy"", ""employment economics"", ""personnel management"", ""employment market"", ""employment conditions""]",5,5.228794097900391,True,True,True,1.0,1.0,1.0,1
labour market issues,employment issues,hybrid_pipeline,employment issues,"[""employment issues"", ""employment conditions"", ""employment economics"", ""employment policy"", ""employment market""]",5,5.412548303604126,True,True,True,1.0,1.0,1.0,1
job motivation,work motivation,hybrid_pipeline,work motivation,"[""work motivation"", ""work psychology"", ""occupational psychology"", ""drive"", ""employment participation""]",5,5.204573631286621,True,True,True,1.0,1.0,1.0,1
working conditions,employment conditions,hybrid_pipeline,occupational health,"[""occupational health"", ""work psychology"", ""welfare"", ""employment conditions"", ""conditions""]",5,5.222002983093262,False,False,True,0.0,0.43067655807339306,0.25,4
work participation,employment participation,hybrid_pipeline,worker participation,"[""worker participation"", ""employment participation"", ""employment policy"", ""employment market"", ""employment economics""]",5,5.339879512786865,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
labour law,employment law,hybrid_pipeline,employment law,"[""employment law"", ""employment policy"", ""global employment law"", ""labor unions"", ""employment conditions""]",5,5.21524715423584,True,True,True,1.0,1.0,1.0,1
reduction of working hours,workweek reduction,hybrid_pipeline,work-life balance,"[""work-life balance"", ""workweek reduction"", ""working time"", ""work-life conflict"", ""quality of worklife""]",5,5.584786415100098,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
industrial/labour relations,employment relations,hybrid_pipeline,employment relations,"[""employment relations"", ""industrial psychology"", ""industrial economics"", ""employment economics"", ""labor unions""]",5,5.3253014087677,True,True,True,1.0,1.0,1.0,1
working conditions creation,quality of worklife,hybrid_pipeline,occupational health,"[""occupational health"", ""personnel management"", ""welfare"", ""work psychology"", ""occupational psychology""]",5,5.1922643184661865,False,False,False,0.0,0.0,0.0,-1
labour issues,employment issues,hybrid_pipeline,employment issues,"[""employment issues"", ""employment conditions"", ""employment relations"", ""labor unions"", ""employment policy""]",5,5.158695459365845,True,True,True,1.0,1.0,1.0,1
arbitration,dispute arbitration,hybrid_pipeline,dispute resolution,"[""dispute resolution"", ""negotiation"", ""disputes"", ""dispute arbitration"", ""e-mediation""]",5,5.189764976501465,False,False,True,0.0,0.43067655807339306,0.25,4
reasoning,logical argumentation,hybrid_pipeline,logical argumentation,"[""logical argumentation"", ""Bayesian inference"", ""logical fallacies"", ""critical theorist"", ""mental science""]",5,5.165271520614624,True,True,True,1.0,1.0,1.0,1
aristoteles,Aristotle,hybrid_pipeline,Aristotle,"[""Aristotle"", ""scientific philosophy"", ""mental philosophy"", ""religious philosophy"", ""Scholastic philosopher""]",5,5.299056053161621,True,True,True,1.0,1.0,1.0,1
poverty,destitution,hybrid_pipeline,welfare,"[""welfare"", ""economic condition"", ""social exclusion"", ""social disparity"", ""financial economics""]",5,5.1555421352386475,False,False,False,0.0,0.0,0.0,-1
asylum seekers,refugees,hybrid_pipeline,refugees,"[""refugees"", ""immigrants"", ""Asylum law"", ""Turkish immigrants"", ""immigration law""]",5,5.3590004444122314,True,True,True,1.0,1.0,1.0,1
asset liability management,balance sheet management,hybrid_pipeline,risk management,"[""risk management"", ""financial management"", ""stock management"", ""corporate management"", ""financial accounting""]",5,5.430372476577759,False,False,False,0.0,0.0,0.0,-1
attitudes,mindset,hybrid_pipeline,disposition,"[""disposition"", ""persuasion"", ""mindset"", ""reasoning"", ""Social understanding""]",5,5.123965740203857,False,True,True,0.5,0.5,0.3333333333333333,3
auditory perception,hearing perception,hybrid_pipeline,hearing perception,"[""hearing perception"", ""sound system study"", ""voice technology"", ""sight perception"", ""sensory awareness""]",5,5.190311670303345,True,True,True,1.0,1.0,1.0,1
augustine,St. Augustine,hybrid_pipeline,St. Augustine,"[""St. Augustine"", ""early theologians"", ""applied theology"", ""ecclesiastical Latin"", ""Aristotle""]",5,5.291731357574463,True,True,True,1.0,1.0,1.0,1
automatic language analysis,computational linguistics,hybrid_pipeline,text analysis,"[""text analysis"", ""language processing systems"", ""linguistic behavior"", ""language science"", ""language learning""]",5,5.248298406600952,False,False,False,0.0,0.0,0.0,-1
automation,mechanization,hybrid_pipeline,machine intelligence,"[""machine intelligence"", ""automated learning"", ""computing systems"", ""autonomous learning"", ""artificial neural networks""]",5,5.447308540344238,False,False,False,0.0,0.0,0.0,-1
autonomy and moral,self-governance and ethics,hybrid_pipeline,self-governance and ethics,"[""self-governance and ethics"", ""ethical management"", ""self-governance"", ""social ethics"", ""corporate ethics""]",5,5.6248157024383545,True,True,True,1.0,1.0,1.0,1
bank - firm relationships,financial partnerships,hybrid_pipeline,financial partnerships,"[""financial partnerships"", ""strategic partnerships"", ""inter-firm relationships"", ""businesses"", ""Cooperation""]",5,5.307365894317627,True,True,True,1.0,1.0,1.0,1
banking law,financial law,hybrid_pipeline,financial regulation,"[""financial regulation"", ""regulatory law"", ""regulatory economics"", ""financial law"", ""financial policy""]",5,5.1984968185424805,False,False,True,0.0,0.43067655807339306,0.25,4
banking systems,financial systems,hybrid_pipeline,financial systems,"[""financial systems"", ""financial structure"", ""government finance"", ""credit infrastructure"", ""financial instruments""]",5,5.203127145767212,True,True,True,1.0,1.0,1.0,1
primary education,elementary education,hybrid_pipeline,elementary education,"[""elementary education"", ""schooling"", ""educational technology"", ""educational sociology"", ""skill development""]",5,5.170417785644531,True,True,True,1.0,1.0,1.0,1
bayesian statistics,Bayesian inference,hybrid_pipeline,Bayesian inference,"[""Bayesian inference"", ""statistical techniques"", ""statistical mathematics"", ""machine intelligence"", ""computational models""]",5,5.3456854820251465,True,True,True,1.0,1.0,1.0,1
corporate policy and strategy,business strategy,hybrid_pipeline,business strategy,"[""business strategy"", ""marketing strategy"", ""strategic planning"", ""corporate management"", ""market strategy""]",5,5.199389457702637,True,True,True,1.0,1.0,1.0,1
business communication and ethics,corporate communication ethics,hybrid_pipeline,corporate communication ethics,"[""corporate communication ethics"", ""corporate ethics"", ""professional ethics"", ""organizational structure"", ""ethical management""]",5,5.199272394180298,True,True,True,1.0,1.0,1.0,1
business modelling,business analytics,hybrid_pipeline,business strategy,"[""business strategy"", ""market analysis"", ""market strategy"", ""marketing strategy"", ""strategic planning""]",5,5.539153337478638,False,False,False,0.0,0.0,0.0,-1
business economics,managerial economics,hybrid_pipeline,managerial economics,"[""managerial economics"", ""economic science"", ""industrial economics"", ""financial economics"", ""individual economics""]",5,5.216856956481934,True,True,True,1.0,1.0,1.0,1
business ethics,corporate ethics,hybrid_pipeline,corporate ethics,"[""corporate ethics"", ""ethical management"", ""corporate conscience"", ""professional ethics"", ""ethical marketing""]",5,5.168339490890503,True,True,True,1.0,1.0,1.0,1
business studies,business administration,hybrid_pipeline,organizational studies,"[""organizational studies"", ""economic science"", ""market analysis"", ""businesses"", ""organizational structure""]",5,5.1721765995025635,False,False,False,0.0,0.0,0.0,-1
Firm relocation,business relocation,hybrid_pipeline,business relocation,"[""business relocation"", ""organizational transformation"", ""corporate consolidation"", ""reorganisation"", ""organizational growth""]",5,5.271672487258911,True,True,True,1.0,1.0,1.0,1
companies,businesses,hybrid_pipeline,businesses,"[""businesses"", ""corporate management"", ""organizational structure"", ""administrative organisation"", ""corporate law""]",5,5.216815948486328,True,True,True,1.0,1.0,1.0,1
bounded rationality,limited rationality,hybrid_pipeline,limited rationality,"[""limited rationality"", ""decision analysis"", ""decision process"", ""radical critique"", ""mental philosophy""]",5,5.424043416976929,True,True,True,1.0,1.0,1.0,1
information systems management,IT management,hybrid_pipeline,IT management,"[""IT management"", ""information technology"", ""IT administration"", ""data management systems"", ""data management""]",5,5.2710137367248535,True,True,True,1.0,1.0,1.0,1
taxes,levies,hybrid_pipeline,levies,"[""levies"", ""assessment"", ""income tax"", ""company tax"", ""funding""]",5,5.354247331619263,True,True,True,1.0,1.0,1.0,1
tax law,fiscal law,hybrid_pipeline,global tax law,"[""global tax law"", ""income tax"", ""fiscal law"", ""EU tax regulations"", ""company tax""]",5,5.180960178375244,False,True,True,0.5,0.5,0.3333333333333333,3
investment,investing,hybrid_pipeline,funding,"[""funding"", ""investing"", ""investment fund"", ""investment theory"", ""investment funds""]",5,5.391474723815918,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
investor behaviour,Investor psychology,hybrid_pipeline,Investor psychology,"[""Investor psychology"", ""investment theory"", ""investing"", ""risk management"", ""financial economics""]",5,5.3625054359436035,True,True,True,1.0,1.0,1.0,1
mutual fund,investment fund,hybrid_pipeline,investment fund,"[""investment fund"", ""investment funds"", ""investing"", ""investment theory"", ""Investor psychology""]",5,5.513106107711792,True,True,True,1.0,1.0,1.0,1
policy evaluation,policy analysis,hybrid_pipeline,policy analysis,"[""policy analysis"", ""public policy"", ""financial evaluation"", ""assessment"", ""regulatory law""]",5,5.38405966758728,True,True,True,1.0,1.0,1.0,1
mediation,conflict resolution,hybrid_pipeline,dispute resolution,"[""dispute resolution"", ""negotiation"", ""conflict resolution"", ""disputes"", ""dispute arbitration""]",5,5.586617708206177,False,True,True,0.5,0.5,0.3333333333333333,3
assertive outreach,proactive engagement,hybrid_pipeline,proactive engagement,"[""proactive engagement"", ""aggression"", ""hostility"", ""communication channels"", ""interpersonal process""]",5,5.331848859786987,True,True,True,1.0,1.0,1.0,1
berber language,Tamazight,hybrid_pipeline,Tamazight,"[""Tamazight"", ""Arabian"", ""minority languages"", ""ancient Hebrew"", ""Sub-Saharan region""]",5,5.488962888717651,True,True,True,1.0,1.0,1.0,1
occupational ethics,professional ethics,hybrid_pipeline,professional ethics,"[""professional ethics"", ""corporate ethics"", ""occupational psychology"", ""social ethics"", ""conduct""]",5,5.440681219100952,True,True,True,1.0,1.0,1.0,1
Occupational ethics for ministers,ministerial ethics,hybrid_pipeline,ministerial ethics,"[""ministerial ethics"", ""Ecclesiastical leadership"", ""Clergy"", ""Pastoral Counseling Psychology"", ""sociology of pastoral care""]",5,5.414150714874268,True,True,True,1.0,1.0,1.0,1
occupational diseases,work-related illnesses,hybrid_pipeline,work-related illnesses,"[""work-related illnesses"", ""occupational health"", ""long-term illnesses"", ""employment issues"", ""occupational psychology""]",5,5.320346117019653,True,True,True,1.0,1.0,1.0,1
protected species,endangered species,hybrid_pipeline,endangered species,"[""endangered species"", ""ecological criminal law"", ""natural diversity"", ""ecological law"", ""ecological management""]",5,5.293033838272095,True,True,True,1.0,1.0,1.0,1
decision theory,decision analysis,hybrid_pipeline,decision analysis,"[""decision analysis"", ""policy analysis"", ""theory of knowledge"", ""decision process"", ""cognitive psychology theory""]",5,5.536731004714966,True,True,True,1.0,1.0,1.0,1
decision support systems,decision aid systems,hybrid_pipeline,knowledge systems,"[""knowledge systems"", ""information systems management"", ""collaborative information systems"", ""decision aid systems"", ""data management systems""]",5,5.642831087112427,False,False,True,0.0,0.43067655807339306,0.25,4
decision making,decision process,hybrid_pipeline,strategic planning,"[""strategic planning"", ""decision process"", ""cognitive psychology"", ""decision analysis"", ""policy analysis""]",5,5.691657781600952,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
information management and technology,information systems management,hybrid_pipeline,information systems management,"[""information systems management"", ""IT management"", ""information technology"", ""information and communication technology"", ""data management systems""]",5,5.574552059173584,True,True,True,1.0,1.0,1.0,1
administrative reform,bureaucratic reform,hybrid_pipeline,bureaucratic reform,"[""bureaucratic reform"", ""governance"", ""governance crisis"", ""reorganisation"", ""policy analysis""]",5,5.2955029010772705,True,True,True,1.0,1.0,1.0,1
management of non-profit organisations,non-profit management,hybrid_pipeline,non-profit management,"[""non-profit management"", ""charitable organizations"", ""charitable sector"", ""governance"", ""public management""]",5,5.405022382736206,True,True,True,1.0,1.0,1.0,1
public administration,administrative organisation,hybrid_pipeline,administration,"[""administration"", ""public management"", ""administrative organisation"", ""governance"", ""business administration""]",5,5.381965637207031,False,True,True,0.5,0.5,0.3333333333333333,3
administrative procedural law,administrative litigation,hybrid_pipeline,regulatory law,"[""regulatory law"", ""policy analysis"", ""administrative litigation"", ""financial regulation"", ""public policy""]",5,5.532435655593872,False,True,True,0.5,0.5,0.3333333333333333,3
consciousness,awareness,hybrid_pipeline,awareness,"[""awareness"", ""self-awareness"", ""cognitive psychology"", ""sensory awareness"", ""self-concept""]",5,5.470895767211914,True,True,True,1.0,1.0,1.0,1
bible (studies),biblical studies,hybrid_pipeline,biblical studies,"[""biblical studies"", ""New Testament studies"", ""Bible interpretation"", ""religious studies"", ""Christian Scriptures""]",5,5.434117317199707,True,True,True,1.0,1.0,1.0,1
bible as literature,scriptural literature,hybrid_pipeline,biblical studies,"[""biblical studies"", ""New Testament studies"", ""theological literature"", ""Hebrew Bible"", ""Christian Scriptures""]",5,5.379988670349121,False,False,False,0.0,0.0,0.0,-1
Bible and culture,scriptural influence on culture,hybrid_pipeline,biblical studies,"[""biblical studies"", ""New Testament studies"", ""religious studies"", ""Christian cultural studies"", ""Christian history""]",5,5.446902275085449,False,False,False,0.0,0.0,0.0,-1
bible translations,scripture translations,hybrid_pipeline,scripture translations,"[""scripture translations"", ""Christian Scriptures"", ""Hebrew Bible"", ""Bible interpretation"", ""early Christian texts""]",5,5.370312690734863,True,True,True,1.0,1.0,1.0,1
bible studies; exegesis,Bible interpretation,hybrid_pipeline,Bible interpretation,"[""Bible interpretation"", ""biblical studies"", ""theological literature"", ""New Testament studies"", ""theological representations""]",5,5.480076789855957,True,True,True,1.0,1.0,1.0,1
bible studies; new testament,New Testament studies,hybrid_pipeline,biblical studies,"[""biblical studies"", ""New Testament studies"", ""Hebrew Bible"", ""Christian Scriptures"", ""religious studies""]",5,5.316893577575684,False,True,True,0.6309297535714575,0.6309297535714575,0.5,2
